Order ID	Order Date	Order Priority	Order Quantity	Sales	Ship Mode	Shipping Cost	Unit price	Province	Customer Segment	Product Category	Product Sub-Category	Product Container	Ship Date
2467	1/10/2011	Not Specified	49	4147.47	Delivery Truck	17.85	84.64	Quebec	Corporate	Technology	Office Machines	Jumbo Drum	7/16/2011
36675	1/10/2011	High	49	113.09	Regular Air	0.81	2.31	Ontario	Small Business	Office Supplies	Pens & Art Supplies	Wrap Bag	7/6/2011
19811	1/10/2011	Low	49	450.66	Express Air	6.14	9.20	Quebec	Corporate	Office Supplies	"Scissors, Rulers and Trimmers"	Small Pack	8/13/2011
28805	1/10/2011	Medium	49	97.93	Regular Air	49	2.00	Ontario	Corporate	Office Supplies	Appliances	Large Box	4/4/2011
37543	1/10/2011	Medium	49	241.85	Regular Air	13.89	4.94	Yukon	Home Office	Office Supplies	Pens & Art Supplies	Wrap Bag	1/1/2012
9093	1/10/2011	Medium	49	268.55	Regular Air	2.83	5.48	Yukon	Consumer	Technology	Computer Peripherals	Small Pack	12/9/2011
59271	1/10/2011	Not Specified	49	630.38	Express Air	13.32	12.86	New Brunswick	Corporate	Office Supplies	Appliances	Small Box	4/26/2011
16674	1/10/2011	Low	49	1959.43	Regular Air	4.62	39.99	Nova Scotia	Small Business	Office Supplies	Appliances	Small Box	5/6/2011
16128	1/10/2011	High	49	2968.66	Regular Air	14.48	60.58	Saskachewan	Corporate	Furniture	Office Furnishings	Small Box	5/8/2011
40134	1/10/2011	Low	49	109.37	Regular Air	4.5	2.23	British Columbia	Small Business	Office Supplies	Appliances	Small Box	10/16/2011
55013	1/10/2011	Low	49	322.61	Regular Air	5.53	6.58	Quebec	Home Office	Office Supplies	Pens & Art Supplies	Small Pack	7/17/2011
802	1/11/2011	Critical	49	378.6	Regular Air	5.63	7.73	Ontario	Corporate	Office Supplies	Binders and Binder Accessories	Small Box	1/6/2011
12773	1/11/2011	Low	49	130.67	Regular Air	7.86	2.67	Prince Edward Island	Corporate	Office Supplies	Paper	Small Box	1/16/2011
33473	1/11/2011	Low	49	600.22	Regular Air	3.14	12.25	Saskachewan	Corporate	Office Supplies	"Scissors, Rulers and Trimmers"	Small Pack	1/4/2011
34180	1/11/2011	High	49	27	Express Air	8.09	0.55	Manitoba	Corporate	Office Supplies	Paper	Small Box	9/3/2011
25479	1/11/2011	Critical	49	210.5025	Regular Air	1.25	4.30	Quebec	Corporate	Technology	Telephones and Communication	Small Pack	4/28/2011
42081	1/11/2011	Low	49	1493.858	Regular Air	8.8	30.49	Ontario	Small Business	Technology	Telephones and Communication	Small Box	1/15/2011
11652	1/11/2011	Not Specified	49	223.82	Regular Air	10.39	4.57	Ontario	Home Office	Office Supplies	Paper	Small Box	11/11/2011
46916	1/11/2011	High	49	2108.21	Regular Air	19.99	43.02	New Brunswick	Home Office	Furniture	Office Furnishings	Small Box	10/5/2011
23907	1/11/2011	Not Specified	49	384.2	Regular Air	2.5	7.84	British Columbia	Corporate	Technology	Telephones and Communication	Small Box	7/14/2011
50145	1/11/2011	High	48	458.8	Regular Air	6.77	9.56	Saskachewan	Corporate	Furniture	Office Furnishings	Small Box	2/26/2011
38466	1/13/2011	Critical	48	105.48	Regular Air	7.37	2.20	Ontario	Corporate	Office Supplies	Paper	Small Box	8/18/2011
42692	1/13/2011	Medium	48	278.01	Regular Air	8.73	5.79	British Columbia	Small Business	Office Supplies	Paper	Small Box	12/21/2011
28805	1/13/2011	Medium	48	487.5	Regular Air	4.68	10.16	Ontario	Corporate	Office Supplies	"Scissors, Rulers and Trimmers"	Small Pack	4/4/2011
23104	1/14/2011	Medium	48	142.8	Regular Air	3.37	2.98	Saskachewan	Small Business	Office Supplies	Rubber Bands	Wrap Bag	4/12/2011
35555	1/15/2011	Medium	48	71.61	Regular Air	4.93	1.49	Ontario	Corporate	Technology	Computer Peripherals	Small Pack	3/6/2011
13126	1/15/2011	Not Specified	48	380.62	Delivery Truck	29.21	7.93	Alberta	Consumer	Furniture	Tables	Jumbo Box	10/21/2011
48354	1/15/2011	Medium	48	1387.29	Express Air	14.3	28.90	Alberta	Home Office	Office Supplies	Paper	Small Box	4/21/2011
44451	1/15/2011	Critical	48	103.9	Express Air	7.58	2.16	Nova Scotia	Home Office	Furniture	Office Furnishings	Small Box	9/13/2011
52672	1/16/2011	Low	48	1499.5275	Regular Air	5.26	31.24	Saskachewan	Home Office	Technology	Telephones and Communication	Small Box	1/13/2011
33510	1/16/2011	High	48	267.06	Regular Air	5.22	5.56	Ontario	Corporate	Furniture	Office Furnishings	Small Box	12/3/2011
47271	1/17/2011	Medium	48	221.42	Regular Air	4.62	4.61	New Brunswick	Corporate	Technology	Computer Peripherals	Small Pack	7/29/2011
20486	1/17/2011	High	48	163.98	Regular Air	0.7	3.42	Ontario	Corporate	Office Supplies	Pens & Art Supplies	Wrap Bag	3/6/2011
37792	1/17/2011	High	48	36.74	Regular Air	0.97	0.77	Quebec	Corporate	Office Supplies	Pens & Art Supplies	Wrap Bag	12/30/2011
42979	1/17/2011	Not Specified	48	2770.79	Delivery Truck	30	57.72	Saskachewan	Corporate	Furniture	Chairs & Chairmats	Jumbo Drum	5/3/2011
53825	1/18/2011	Low	48	1646.05	Regular Air	7.23	34.29	British Columbia	Consumer	Office Supplies	Paper	Small Box	4/11/2011
46311	1/18/2011	High	48	981.73	Regular Air	3.63	20.45	Saskachewan	Consumer	Furniture	Office Furnishings	Small Pack	7/26/2011
41217	1/18/2011	High	48	1314.64	Express Air	6.79	27.39	British Columbia	Consumer	Office Supplies	Paper	Small Box	7/15/2011
31233	1/19/2011	Low	48	590.32	Regular Air	8.99	12.30	Yukon	Home Office	Office Supplies	Pens & Art Supplies	Small Pack	9/28/2011
30657	1/19/2011	High	48	179.66	Regular Air	1.99	3.74	Saskachewan	Corporate	Technology	Computer Peripherals	Small Pack	5/12/2011
7239	1/19/2011	Medium	48	6206.16	Regular Air	19.99	129.30	Ontario	Small Business	Office Supplies	Storage & Organization	Small Box	7/1/2011
7812	1/19/2011	Low	48	3635.63	Delivery Truck	29.2	75.74	Yukon	Corporate	Furniture	Tables	Jumbo Box	4/22/2011
30593	1/19/2011	Critical	48	97.65	Express Air	6.92	2.03	Ontario	Small Business	Furniture	Office Furnishings	Small Box	7/27/2011
52675	1/19/2011	Medium	48	52.62	Regular Air	1.12	1.10	British Columbia	Small Business	Office Supplies	Pens & Art Supplies	Wrap Bag	10/12/2011
31140	1/20/2011	Critical	48	13.42	Regular Air	0.99	0.28	Saskachewan	Home Office	Office Supplies	Labels	Small Box	2/2/2011
52327	1/20/2011	Medium	48	28.23	Regular Air	4.7	0.59	Ontario	Home Office	Office Supplies	Paper	Small Box	12/22/2011
31558	1/20/2011	Low	48	1763.6	Regular Air	1.99	36.74	Northwest Territories	Home Office	Technology	Computer Peripherals	Small Pack	7/23/2011
15622	1/21/2011	High	48	8581.25	Delivery Truck	60.2	178.78	British Columbia	Consumer	Furniture	Bookcases	Jumbo Box	8/26/2011
47010	1/21/2011	Critical	48	1479.14	Delivery Truck	30	30.82	Saskachewan	Corporate	Furniture	Chairs & Chairmats	Jumbo Drum	10/3/2011
27811	1/21/2011	Not Specified	48	73.9	Regular Air	13.18	1.54	Ontario	Small Business	Office Supplies	Binders and Binder Accessories	Small Box	3/5/2011
36704	1/21/2011	High	48	134.33	Express Air	1.14	2.80	Alberta	Home Office	Office Supplies	Paper	Wrap Bag	6/17/2011
52578	1/22/2011	Critical	48	6230.68	Delivery Truck	29.1	129.81	Alberta	Consumer	Furniture	Tables	Jumbo Box	3/9/2011
47462	1/22/2011	High	48	110.31	Regular Air	2.27	2.30	Northwest Territories	Corporate	Office Supplies	Pens & Art Supplies	Wrap Bag	6/11/2011
15972	1/22/2011	Not Specified	48	10.33	Regular Air	1.58	0.22	Ontario	Small Business	Office Supplies	Rubber Bands	Wrap Bag	8/9/2011
10278	1/22/2011	Low	48	1907.71	Delivery Truck	26.74	39.74	Saskachewan	Home Office	Furniture	Bookcases	Jumbo Box	9/19/2011
49761	1/22/2011	Not Specified	48	1090.6	Regular Air	6.3	22.72	British Columbia	Corporate	Technology	Office Machines	Medium Box	1/25/2011
1539	1/22/2011	Low	48	184.99	Regular Air	4.93	3.85	Nunavut	Corporate	Technology	Computer Peripherals	Small Pack	3/14/2011
51525	1/22/2011	Critical	48	1463.27	Regular Air	8.22	30.48	Nova Scotia	Home Office	Office Supplies	Storage & Organization	Small Box	11/9/2011
40612	1/23/2011	High	48	19.2	Regular Air	1.12	0.40	Alberta	Corporate	Office Supplies	Pens & Art Supplies	Wrap Bag	3/1/2011
41539	1/24/2011	High	48	41.85	Express Air	1.29	0.87	British Columbia	Consumer	Office Supplies	Pens & Art Supplies	Wrap Bag	5/5/2011
58755	1/24/2011	Low	48	47.11	Regular Air	7.09	0.98	Saskachewan	Home Office	Office Supplies	Paper	Wrap Bag	12/12/2011
36482	1/24/2011	Medium	48	2675.08	Express Air	24.49	55.73	Alberta	Small Business	Furniture	Office Furnishings	Large Box	7/7/2011
46565	1/24/2011	Not Specified	47	4691.27	Express Air	24.49	99.81	New Brunswick	Home Office	Office Supplies	Appliances	Large Box	6/22/2011
58470	1/24/2011	High	47	1811.55	Regular Air	0.99	38.54	British Columbia	Small Business	Office Supplies	Appliances	Small Box	6/9/2011
27363	1/24/2011	Medium	47	323.26	Regular Air	6.67	6.88	Manitoba	Small Business	Furniture	Office Furnishings	Small Pack	10/19/2011
24070	1/25/2011	High	47	294.26	Express Air	0.7	6.26	British Columbia	Corporate	Office Supplies	Pens & Art Supplies	Wrap Bag	3/16/2011
10979	1/25/2011	Medium	47	486.43	Regular Air	3.92	10.35	Saskachewan	Small Business	Furniture	Office Furnishings	Small Pack	10/6/2011
32069	1/25/2011	Not Specified	47	114.94	Regular Air	9.68	2.45	Manitoba	Consumer	Office Supplies	Paper	Small Box	11/21/2011
36516	1/26/2011	Medium	47	883.37	Regular Air	7.18	18.80	Prince Edward Island	Home Office	Technology	Computer Peripherals	Small Box	7/28/2011
5636	1/26/2011	Medium	47	138.17	Regular Air	2.27	2.94	Quebec	Small Business	Office Supplies	Pens & Art Supplies	Wrap Bag	2/17/2011
12194	1/26/2011	Critical	47	3355.154	Regular Air	3.99	71.39	Saskachewan	Corporate	Technology	Telephones and Communication	Small Box	3/2/2011
56768	1/26/2011	Critical	47	111.39	Regular Air	0.7	2.37	Nova Scotia	Corporate	Office Supplies	Pens & Art Supplies	Wrap Bag	7/29/2011
6433	1/26/2011	Medium	47	159.26	Regular Air	0.5	3.39	Quebec	Home Office	Office Supplies	Labels	Small Box	11/23/2011
11652	1/27/2011	Not Specified	47	1154.14	Regular Air	5.5	24.56	Ontario	Home Office	Technology	Computer Peripherals	Small Box	11/11/2011
22534	1/27/2011	Medium	47	279.33	Regular Air	19.99	5.94	British Columbia	Corporate	Office Supplies	Envelopes	Small Box	7/20/2011
23270	1/27/2011	Low	47	6659.7415	Express Air	3.99	141.70	Manitoba	Home Office	Technology	Telephones and Communication	Small Box	3/18/2011
26406	1/27/2011	Not Specified	47	167.46	Regular Air	5.41	3.56	Ontario	Home Office	Office Supplies	Binders and Binder Accessories	Small Box	4/15/2011
32001	1/27/2011	Low	47	3443.21	Regular Air	13.99	73.26	Quebec	Small Business	Technology	Office Machines	Medium Box	10/30/2011
39527	1/27/2011	Low	47	213.35	Regular Air	2	4.54	British Columbia	Corporate	Office Supplies	Paper	Wrap Bag	4/26/2011
28737	1/27/2011	Critical	47	413.37	Regular Air	7.77	8.80	Yukon	Home Office	Office Supplies	"Scissors, Rulers and Trimmers"	Small Pack	10/5/2011
39268	1/27/2011	Not Specified	47	324.2	Express Air	6.05	6.90	Ontario	Corporate	Office Supplies	Binders and Binder Accessories	Small Box	4/24/2011
3008	1/28/2011	Medium	47	6831.72	Regular Air	19.99	145.36	Yukon	Consumer	Office Supplies	Envelopes	Small Box	11/8/2011
45381	1/28/2011	Medium	47	1316.87	Express Air	5.5	28.02	Nova Scotia	Small Business	Technology	Computer Peripherals	Small Box	8/23/2011
37252	1/28/2011	Low	47	2337.03	Regular Air	19.99	49.72	Manitoba	Corporate	Technology	Computer Peripherals	Small Box	11/21/2011
27781	1/28/2011	High	47	181.13	Regular Air	2.5	3.85	British Columbia	Small Business	Office Supplies	Envelopes	Small Box	9/17/2011
56257	1/29/2011	Medium	47	266.3	Express Air	5.71	5.67	Quebec	Home Office	Furniture	Office Furnishings	Medium Box	9/10/2011
22849	1/29/2011	Not Specified	47	4366.348	Regular Air	3	92.90	Ontario	Corporate	Technology	Telephones and Communication	Small Box	2/16/2011
39008	1/29/2011	Not Specified	47	3582.79	Delivery Truck	70.2	76.23	Manitoba	Corporate	Furniture	Chairs & Chairmats	Jumbo Drum	4/30/2011
31648	1/29/2011	High	47	74.04	Regular Air	7.3	1.58	Saskachewan	Home Office	Office Supplies	Paper	Small Box	8/22/2011
46311	1/29/2011	High	47	1244.01	Regular Air	1.99	26.47	Saskachewan	Consumer	Technology	Computer Peripherals	Small Pack	7/25/2011
57350	1/29/2011	High	47	140.63	Regular Air	5.68	2.99	British Columbia	Small Business	Office Supplies	Paper	Small Box	5/26/2011
49763	1/30/2011	Critical	47	49.04	Regular Air	1.39	1.04	Manitoba	Corporate	Office Supplies	Envelopes	Small Box	2/14/2011
17985	1/31/2011	Medium	47	849.031	Regular Air	3.3	18.06	Ontario	Home Office	Technology	Telephones and Communication	Small Pack	4/14/2011
50404	1/31/2011	High	47	1961.68	Regular Air	69	41.74	Manitoba	Corporate	Furniture	Tables	Large Box	3/28/2011
19424	1/31/2011	Not Specified	47	1129.055	Regular Air	1.1	24.02	Alberta	Small Business	Technology	Telephones and Communication	Small Box	4/10/2011
805	1/31/2011	Not Specified	47	197.56	Regular Air	5.71	4.20	Saskachewan	Small Business	Furniture	Office Furnishings	Medium Box	7/6/2011
23270	1/31/2011	Low	47	1460.42	Delivery Truck	60	31.07	Manitoba	Home Office	Office Supplies	Appliances	Jumbo Drum	3/17/2011
9922	1/31/2011	Not Specified	47	6408.3	Delivery Truck	35.67	136.35	Nova Scotia	Consumer	Furniture	Tables	Jumbo Box	4/4/2011
45606	2/1/2011	Medium	46	325.75	Regular Air	8.54	7.08	Prince Edward Island	Corporate	Furniture	Office Furnishings	Small Pack	9/24/2011
21606	2/1/2011	Not Specified	46	516.62	Regular Air	1.99	11.23	Quebec	Small Business	Technology	Computer Peripherals	Small Pack	1/23/2011
7142	2/1/2011	Critical	46	132.86	Regular Air	0.5	2.89	Alberta	Corporate	Office Supplies	Labels	Small Box	7/23/2011
57121	2/1/2011	Not Specified	46	199.24	Regular Air	4.72	4.33	Alberta	Consumer	Office Supplies	Paper	Small Box	11/18/2011
27553	2/1/2011	Medium	46	2631.107	Regular Air	13.99	57.20	Northwest Territories	Corporate	Technology	Telephones and Communication	Medium Box	8/14/2011
33219	2/2/2011	High	46	7341.96	Delivery Truck	64.2	159.61	Ontario	Consumer	Furniture	Chairs & Chairmats	Jumbo Drum	12/11/2011
55361	2/2/2011	Not Specified	46	51.39	Express Air	4.86	1.12	Quebec	Small Business	Furniture	Office Furnishings	Small Box	3/24/2011
26887	2/2/2011	Critical	46	193.84	Express Air	8.94	4.21	Alberta	Small Business	Office Supplies	Binders and Binder Accessories	Small Box	5/15/2011
4422	2/2/2011	Medium	46	313.43	Regular Air	8.99	6.81	British Columbia	Consumer	Furniture	Office Furnishings	Small Pack	5/21/2011
27559	2/2/2011	High	46	465.9	Regular Air	4.86	10.13	Nova Scotia	Home Office	Office Supplies	Paper	Small Box	10/31/2011
44871	2/2/2011	Critical	46	94.46	Regular Air	4.2	2.05	Manitoba	Home Office	Office Supplies	Pens & Art Supplies	Wrap Bag	5/5/2011
59911	2/2/2011	Not Specified	46	10.59	Regular Air	2.15	0.23	Saskachewan	Corporate	Office Supplies	Paper	Wrap Bag	12/19/2011
49409	2/2/2011	High	46	1457.78	Regular Air	19.99	31.69	Manitoba	Consumer	Technology	Computer Peripherals	Small Box	8/17/2011
17539	2/3/2011	Not Specified	46	381.79	Regular Air	5	8.30	Alberta	Consumer	Furniture	Office Furnishings	Small Pack	9/16/2011
50208	2/3/2011	Medium	46	38.76	Express Air	6.97	0.84	Nova Scotia	Corporate	Office Supplies	Binders and Binder Accessories	Small Box	1/23/2011
52423	2/3/2011	Critical	46	1128.03	Regular Air	6.22	24.52	British Columbia	Home Office	Office Supplies	Storage & Organization	Small Box	4/12/2011
29953	2/3/2011	Critical	46	619.77	Regular Air	7.17	13.47	Ontario	Home Office	Office Supplies	Binders and Binder Accessories	Small Box	2/10/2011
26144	2/3/2011	High	46	75.74	Regular Air	0.99	1.65	Saskachewan	Small Business	Office Supplies	Labels	Small Box	10/27/2011
12611	2/3/2011	Medium	46	189.99	Express Air	1.49	4.13	Saskachewan	Home Office	Office Supplies	Binders and Binder Accessories	Small Box	10/17/2011
40327	2/4/2011	Medium	46	152.96	Regular Air	5.74	3.33	Prince Edward Island	Corporate	Office Supplies	Paper	Small Box	5/15/2011
31233	2/4/2011	Low	46	1298.29	Regular Air	1.99	28.22	Yukon	Home Office	Technology	Computer Peripherals	Small Pack	9/28/2011
52160	2/4/2011	Critical	46	15.6	Express Air	0.78	0.34	Manitoba	Corporate	Office Supplies	Rubber Bands	Wrap Bag	7/6/2011
39683	2/4/2011	High	46	615.58	Regular Air	5.23	13.38	Northwest Territories	Corporate	Office Supplies	Binders and Binder Accessories	Small Box	8/13/2011
38528	2/5/2011	Critical	46	2544.985	Regular Air	0.99	55.33	Ontario	Small Business	Technology	Telephones and Communication	Wrap Bag	12/21/2011
26214	2/5/2011	Medium	46	305.68	Express Air	1.39	6.65	Saskachewan	Small Business	Office Supplies	Envelopes	Small Box	11/21/2011
14471	2/5/2011	Not Specified	46	286.73	Regular Air	7.49	6.23	British Columbia	Corporate	Office Supplies	Paper	Small Box	5/28/2011
27174	2/5/2011	Critical	46	477.5045	Regular Air	5	10.38	British Columbia	Corporate	Technology	Telephones and Communication	Small Box	10/10/2011
57063	2/5/2011	Medium	46	173.78	Regular Air	7.49	3.78	Alberta	Small Business	Office Supplies	Paper	Small Box	6/2/2011
52486	2/5/2011	Not Specified	46	11883.2	Regular Air	7.18	258.33	Quebec	Home Office	Technology	Computer Peripherals	Small Box	1/5/2011
23943	2/5/2011	Critical	46	376.53	Regular Air	5.45	8.19	Yukon	Corporate	Office Supplies	Pens & Art Supplies	Small Pack	6/25/2011
3488	2/5/2011	Medium	46	133.4	Regular Air	2.87	2.90	Manitoba	Home Office	Office Supplies	Pens & Art Supplies	Small Pack	1/8/2011
3588	2/5/2011	Not Specified	46	1531.93	Delivery Truck	14	33.30	New Brunswick	Home Office	Technology	Office Machines	Jumbo Drum	3/18/2011
10535	2/5/2011	Low	46	80.27	Regular Air	0.7	1.75	Northwest Territories	Corporate	Office Supplies	Pens & Art Supplies	Wrap Bag	6/3/2011
7075	2/6/2011	Low	46	83.34	Regular Air	2.58	1.81	Quebec	Corporate	Office Supplies	Rubber Bands	Wrap Bag	10/14/2011
3271	2/6/2011	Critical	46	11532.99	Delivery Truck	17.86	250.72	Ontario	Home Office	Technology	Office Machines	Jumbo Drum	12/31/2011
38272	2/6/2011	Critical	46	71.04	Regular Air	1.49	1.54	British Columbia	Corporate	Office Supplies	Binders and Binder Accessories	Small Box	11/17/2011
37223	2/6/2011	Low	46	679.52	Regular Air	9.47	14.77	Ontario	Home Office	Office Supplies	Storage & Organization	Small Box	11/17/2011
58086	2/6/2011	Medium	46	154.62	Regular Air	6.98	3.36	Manitoba	Corporate	Office Supplies	Binders and Binder Accessories	Small Box	3/11/2011
